id,question,a,b,c,d,answer
1,Trang thi?t b? an toàn trên tàu th?y g?m nh?ng lo?i:,a. C?u h?a; c?u sinh; c?u ??m.,b. Các thi?t b? thông tin c?u n?n.,"c. Danh m?c các tr?m b? trong th?c hi?n c?u h?, c?u n?n.",d. T?t c? các ý trên.,d
2,"Quy ??nh vi?c s? d?ng trang, thi?t b? b?o h? lao ??ng:",a. Ng??i lao ??ng ph?i s? d?ng vào vi?c gì  c?ng ???c.,"b. Ng??i lao ??ng s? d?ng các trang, thi?t b? nào c?ng ???c. ","c. Ng??i lao ??ng ch? m?t lo?i cho trang, thi?t b? quan tr?ng.","d. Ng??i lao ??ng ph?i s? d?ng ?úng m?c ?ích và ?? các trang, thi?t b? ???c cung c?p.",d
3,"Trong th?i gian làm vi?c, ng??i lao ??ng ph?i ch?p hành quy ??nh ?i l?i t?i hi?n tr??ng:",a. Tùy ý ?i l?i.,b. Ch? ???c phép ?i l?i trong ph?m vi ???c phân công.,c. Trong và ngoài ph?m vi khu v?c mình làm vi?c.,d. Ch? ???c phép ?i l?i trên boong.,b
4,"Khi x?y ra s? c? tai n?n lao ??ng, nh?ng ng??i có m?t t?i hi?n tr??ng ph?i:","a. T?t công t?c ?i?n, cho ng?ng máy.","b. Kh?n tr??ng s? c?u n?n nhân, báo ngay cho ng??i ph? trách.",c. Tham gia b?o v? hi?n tr??ng ?? ng??i có trách nhi?m x? lý.,d. T?t c? vi?c trên.,d
5,"?? ??m b?o an toàn phòng, ch?a cháy trên tàu thì thuy?n viên:",a. Bi?t s? d?ng các trang b? c?u h?a.,b. Th??ng xuyên di?n t?p phòng ch?a cháy trên tàu. ,"c. Th??ng xuyên ki?m tra ???ng dây d?n ?i?n ?? tránh b? h?, b? ch?p di?n.",d. T?t c? các công vi?c trên.,d
6,"Khi có s? c? ho?c nghi ng? thi?t b? có s? c?, tr??c h?t ng??i lao ??ng ph?i:",a. Báo cho ng??i ph? trách an toàn bi?t.,"b. Ti?n hành t? s?a ch?a, kh?c ph?c.",c. L?p t?c r?i kh?i hi?n tr??ng.,d. D?ng ho?t ??ng.,a
7,"Khi x?y ra tai n?n lao ??ng, nh?ng ng??i có m?t t?i hi?n tr??ng ph?i làm:","a. T?t công t?c ?i?n, cho ng?ng máy.","b. Kh?n tr??ng s? c?u n?n nhân, báo ngay cho ng??i ph? trách.",c. Tham gia b?o v? hi?n tr??ng ?? ng??i có trách nhi?m x? lý.,d. T?t c? các ý trên .,d
8,"Khi có ng??i vi ph?m v? nguyên t?c an toàn lao ??ng x?y ra t?i n?i làm vi?c, ng??i lao ??ng có ngh?a v? báo cho: ",a. Ng??i ph? trách s?n xu?t.,b. Ng??i lãnh ??o c? s? s?n xu?t.,c. ??i di?n lãnh ??o v? an toàn.,d. Ng??i cùng làm vi?c.,c
9,"Trong quy ??nh an toàn lao ??ng, ng??i lao ??ng ???c s? d?ng và v?n hành thi?t b? là:",a. Ng??i m?i vào làm vi?c.,b. Ng??i ?ã ???c hu?n luy?n v? quy t?c an toàn và v?n hành thi?t b?.,c. Ng??i ???c hu?n luy?n v?n hành thi?t b?.,d. Ng??i ?ã làm vi?c lâu n?m.,b
10,"Khi tr?c ca tàu hành trình, thuy?n viên làm nhi?m v? c?nh gi?i n?u phát hi?n có hi?n t??ng khác th??ng ph?i báo cho:",a. Thuy?n tr??ng.,b. Thuy?n phó.,c. Ng??i ph? trách ca.,d. Máy tr??ng.,c
