id,question,a,b,c,d,answer
1,Trang thiết bị an toàn trên tàu thủy gồm những loại:,a. Cứu hỏa<c> cứu sinh<c> cứu đắm.,b. Các thiết bị thông tin cứu nạn.,c. Danh mục các trạm bờ trong thực hiện cứu hộ<c> cứu nạn.,d. Tất cả các ý trên.,d
2,Quy định việc sử dụng trang<c> thiết bị bảo hộ lao động:,a. Người lao động phải sử dụng vào việc gì  cũng được.,b. Người lao động sử dụng các trang<c> thiết bị nào cũng được.,c. Người lao động chỉ một loại cho trang<c> thiết bị quan trọng.,d. Người lao động phải sử dụng đúng mục đích và đủ các trang<c> thiết bị được cung cấp.,d
3,Trong thời gian làm việc<c> người lao động phải chấp hành quy định đi lại tại hiện trường:,a. Tùy ý đi lại.,b. Chỉ được phép đi lại trong phạm vi được phân công.,c. Trong và ngoài phạm vi khu vực mình làm việc.,d. Chỉ được phép đi lại trên boong.,b
4,Khi xảy ra sự cố tai nạn lao động<c> những người có mặt tại hiện trường phải:,a. Tắt công tắc điện<c> cho ngừng máy.,b. Khẩn trường sơ cứu nạn nhân<c> báo ngay cho người phụ trách.,c. Tham gia bảo vệ hiện trường để người có trách nhiệm xử lý.,d. Tất cả việc trên.,d
5,Để đảm bảo an toàn phòng<c> chữa cháy trên tàu thì thuyền viên:,a. Biết sử dụng các trang bị cứu hỏa.,b. Thường xuyên diễn tập phòng chữa cháy trên tàu. ,c. Thường xuyên kiểm tra đường dây dẫn điện để tránh bị hở<c> bị chập diện.,d. Tất cả các công việc trên.,d
6,Khi có sự cố hoặc nghi ngờ thiết bị có sự cố<c> trước hết người lao động phải: ,a. Báo cho người phụ trách an toàn biết.,b. Tiến hành tự sửa chữa<c> khắc phục.,c. Lập tức rời khỏi hiện trường.,d. Dừng hoạt động.,a
7,Khi xảy ra tai nạn lao động<c> những người có mặt tại hiện trường phải làm:,a. Tắt công tắc điện<c> cho ngừng máy.,b. Khẩn trường sơ cứu nạn nhân<c> báo ngay cho người phụ trách.,c. Tham gia bảo vệ hiện trường để người có trách nhiệm xử lý.,d. Tất cả các ý trên .,d
8,Khi có người vi phạm về nguyên tắc an toàn lao động xảy ra tại nơi làm việc<c> người lao động có nghĩa vụ báo cho: ,a. Người phụ trách sản xuất.,b. Người lãnh đạo cơ sở sản xuất.,c. Đại diện lãnh đạo về an toàn.,d. Người cùng làm việc.,c
9,Trong quy định an toàn lao động<c> người lao động được sử dụng và vận hành thiết bị là:,a. Người mới vào làm việc.,b. Người đã được huấn luyện về quy tắc an toàn và vận hành thiết bị.,c. Người được huấn luyện vận hành thiết bị.,d. Người đã làm việc lâu năm.,b
10,Khi trực ca tàu hành trình<c> thuyền viên làm nhiệm vụ cảnh giới nếu phát hiện có hiện tượng khác thường phải báo cho:,a. Thuyền trưởng.,b. Thuyền phó.,c. Người phụ trách ca.,d. Máy trưởng.,c
11,Thuyền phó khi trực ca bờ<c> trường hợp tàu đậu trong cầu cảng cần nắm rõ:,a. Thủy triều<c> nội qui của cảng.,b. Điều kiện thiên nhiên.,c. Báo hiệu khu vực cầu tàu.,d. Làm theo sự chỉ đạo của cơ quan Cảng vụ.,a
12,Người trực ca khi tàu hành trình<c> nếu có báo động phải ở:,a. Vị trí cao nhất.,b. Vị trí qui định<c> chỉ ra khỏi vị trí khi có người thay thế.,c. Những nơi cần thiết.,d. Mũi tàu.,b
13,Khi xảy ra cháy<c> nổ trên phương tiện<c> thuyền trưởng phải có mặt ở để chỉ huy:,a. Buồng lái.,b. Mũi tàu.,c. Lái tàu.,d. Vị trí cao nhất.,a
14,Khi xảy ra cháy<c> nổ trên phương tiện<c> người chỉ huy việc cứu người và di chuyển tài sản là:,a. Thuyền trưởng.,b. Thuyền phó.,c. Máy trưởng.,d. Thủy thủ.,b
15,Khi xảy ra cháy nổ trên phương tiện thủy<c> người trực tiếp sử dụng các trang thiết bị phù hợp để chữa cháy là:,a. Thuyền trưởng.,b. Thuyền phó.,c. Thuyền viên.,d. Thợ máy.,c
16,Khi xảy ra cháy nổ trên phương tiện<c> thợ máy có nhiệm vụ:,a. Hỗ trợ ứng cứu.,b. Đóng cửa thông gió<c> phun nước làm mát và chữa cháy.,c. Di chuyển tài sản<c> tham gia cứu người.,d. Tất cả các nhiệm vụ trên.,d
17,Khi xảy ra cháy nổ trên phương tiện<c> người cắt điện<c> chạy bơm nước cứu hỏa<c> vận hành trạm CO2 là:,a. Thuyền trưởng.,b. Máy trưởng.,c. Thủy thủ.,d. Thợ máy.,b
18,Tai nạn đối với người làm việc trên tàu thủy<c> nạn nhân có thể bị:,a. Gẫy xương. ,b. Ngất<c> chết đuối. ,c. Chấn thương phần mềm<c> nội tạng.,d. Tất cả các trường hợp trên.,d
19,Khi làm dây với trống quấn dây<c> người làm dây phải để tay giữ dây cách trống ít nhất là:,a. 0<c>5 m.,b. 1<c>0 m.,c. 1<c>5 m.,d. 2<c>0 m.,b
20,Thuyền viên làm việc trên phương tiện chở hóa chất<c> ngoài các giấy chứng nhận khả năng chuyên môn theo chức danh trên phương tiện phải có:,a. Chứng nhận về sử dụng hóa chất.,b. Chứng nhận về sản xuất hóa chất.,c. Chứng nhận mua bán hóa chất.,d. Chứng chỉ an toàn làm việc trên phương tiện chở hóa chất.,d
21,Phương tiện được phép chuyên chở hóa chất là:,a. Tàu tự hành.,b. Đoàn tàu đẩy.,c. Đoàn tàu kéo.,d. Phương tiện có giấy chứng nhận an toàn kỹ thuật và bảo vệ môi trường phù hợp với loại<c> nhóm hàng chuyên chở.,d
22,Trang thiết bị bảo vệ người làm công tác vận tải hóa chất phải bảo đảm nguyên tắc là:,a. Bền<c> đẹp.,b. Không cháy.,c. Cách nhiệt.,d. Toàn thân được bảo vệ.,d
23,Người làm công tác vận tải hóa chất sử dụng trang thiết bị bảo vệ khi:,a. Mọi lúc<c> mọi nơi.,b. Bất kỳ công việc nào có thể tạo ra nguy hiểm cho người lao động.,c. Chỉ khi xếp hàng.,d. Chỉ khi dỡ hàng.,b
24,Dung tích chai khí dự trữ cho mỗi thiết bị thở trên phương tiện chở hóa chất được quy định là:,a. 60 lít.,b. 600 lít.,c. 1000 lít.,d. 6000 lít.,d
25,Thời gian tối thiểu phải kiểm tra thiết bị thở của phương tiện chở hóa chất là:,a. 1 tháng.,b. 3 tháng.,c. 6 tháng.,d. 1 năm.,a
26,Trên phương tiện chở hóa chất<c> hàng hóa nguy hiểm người quyết định sơ đồ xếp dỡ hàng hóa là:,a. Thủy thủ.,b. Thuyền phó.,c. Thuyền trưởng.,d. Máy trưởng.,c
27,Quần áo trang thiết bị bảo vệ người làm việc trên phương tiện chở hóa chất được cất giữ trên phương tiện ở:,a. Tủ cá nhân. ,b. Giường cá nhân.,c. Tủ chuyên dùng.,d. Nơi làm việc.,c
28,Thuyền viên được phép vào làm việc trong khu vực kín khi nồng độ Ôxy lớn hơn:,a. 18%.,b. 19%.,c. 20%.,d. 21%.,d
29,Khi làm việc trong khu vực kín<c> nghi ngờ có tồn đọng hơi độc<c> người lao động nhất thiết phải mang: ,a. Mũ bảo hiểm.,b. Khẩu trang.,c. Mặt nạ phòng độc có dưỡng khí và buộc dây an toàn.,d. Quần áo bảo vệ kín người.,c
30,Khi khí và hơi phát cháy thì dùng loại bình chữa cháy hóa học để dập cháy tốt nhất là:,a. Bình bọt.,b. Bình bột.,c. Bình  CO2.,d. Bình axit bazơ.,b
31,Sử dụng loại bình hóa học để dập cháy phải đeo mặt nạ phòng ngạt:,a. Bình bọt.,b. Bình bột.,c. Bình  CO2.,d. Bình axit bazơ.,c
32,Các thiết bị điện<c> hóa chất không gây phản ứng với CO2 thì dùng loại bình chữa cháy hóa học tốt nhất để dập cháy là:,a. Bình  CO2.,b. Bình bột.,c. Bình bọt.,d. Bình Axít bazơ.,a
33,Khi sử dụng loại bình chữa cháy nào sau đây phải đeo mặt nạ phòng ngạt:,a. Bình bọt.,b. Bình bột.,c. Bình  CO2.,d. Bình axit bazơ.,c
34,Đám cháy khí và hơi thuộc loại:,a. Loại A.,b. Loại B.,c. Loại C.,d. Loại D.,c
35,Biển cấm hút thuốc lá là:,a. Biển 1.,b. Biển 2.,c. Biển 3.,d. Biển 4.,c
36,Biển chỉ vị trí đặt thiết bị chữa cháy là:,a. Biển 1.,b. Biển 2.,c. Biển 3.,d. Biển 4.,a
37,Biển chỉ lối đi an toàn là: ,a. Biển 1.,b. Biển 2.,c. Biển 3.,d. Biển 4.,b
38,Biển chỉ chú ý nguy hiểm là:,a. Biển 1.,b. Biển 2.,c. Biển 3.,d. Biển 4.,b
39,Trang thiết bị cứu hỏa trên tàu được sơn:,a. Màu đỏ.,b. Màu xanh.,c. Màu vàng.,d. Màu xám.,a
40,Trang thiết bị cứu hỏa trên tàu thường được để ở đâu:,a. Trong hầm<c> kho mũi.,b. Trong hầm<c> kho lái.,c. Trên hành lang ở những nơi dễ thấy<c> dễ lấy.,d. Cả ba đáp án trên.,c
